"signal","domain","telemetry_source","rationale","mapped_ICICI_Lombard_products"
"Changes in cross-state worker onboarding (Benefit Portability API traffic)","Employee Benefits","National Gig ID API traffic","Karnataka enables benefit portability for the 62% of workers migrating from neighboring states.8 Tracking this models geographic risk concentration for group policies.","Group Health, Group PA, Group Safeguard Insurance"
"Sudden removal of algorithmic ""throttling"" mechanisms","Employee Benefits","App reverse engineering","Platforms adjusting algorithms to avoid the Welfare Board's veto power over safety-impacting changes (e.g., 20% radius reductions).8 Impacts worker safety profiles.","Employers Compensation, Public Liability"
"Disclosures of ""Verification of Parental Consent"" for minor gig workers","Employee Benefits","Delivery app onboarding","Platforms ensuring they do not process data of workers under 18 without parental consent under DPDP rules.15 Failure invites DPB penalties and child labor scrutiny.","Cyber, Employment Practices Liability, CGL"
"Surge in job postings for ""Algorithmic Fairness Auditors""","Employee Benefits","HR portals","Reacting to DPDP Significant Data Fiduciary obligations and gig worker transparency laws simultaneously.17","Employment Practices Liability, D\&O, Cyber"
"Restructuring of payout architectures from Piece-rate to Hourly","Employee Benefits","Financial API flow analysis","Attempting to circumvent ""piece-rate"" definitions within the Gig Worker Act to minimize welfare cess applicability.11 Highly aggressive regulatory evasion risk.","D\&O, Employment Practices Liability, Crime / Fidelity"
"Union/Collectivization chatter mentioning specific State Gig IDs","Employee Benefits","Social media sentiment NLP","Gig workers leveraging their unique IDs provided by the state to organize verifiable digital strikes.11 Predicts massive fulfillment delays.","Business Interruption, Employers Compensation"
"B2G (Business-to-Government) blacklisting notices published","Employee Benefits","Government e-Marketplace (GeM)","Retaliatory mechanism for non-remittance of welfare cess, severing up to 15% of B2G orders.8 Results in an immediate, massive revenue hit.","Business Interruption, D\&O, Corporate Cover II"
"Appeals filed against Aggregators under the Industrial Disputes Act 1947","Employee Benefits","Industrial Disputes Act registries","The Karnataka Bill allows gig workers to seek dispute resolution via the ID Act 7, bridging the gap between gig work and formal employment liability.","Employers Compensation, Employment Practices Liability"
"Suspension of operating licenses under the Shops and Establishments Act","Employee Benefits","Municipal gazettes","Triggered by general non-compliance with the gig worker registration and cess mandates.8","Business Interruption, D\&O, Business Shield SME"
"Rollback of gamified, high-risk incentive structures","Employee Benefits","App UI telemetry","Removing behavioral monitoring tools that conflict with DPDP Act restrictions or are deemed unfair/unsafe by the Gig Welfare Board.8","Tech E\&O, Employment Practices Liability, Employers Compensation"
"Hiring of localized ""Conciliation Officers"" directly by aggregators","Employee Benefits","LinkedIn / Recruitment data","Internal scaling to manage the mandated pre-tribunal dispute resolution process efficiently.8 High hiring volume equals high dispute volume.","Employment Practices Liability"
"Sudden influx of Group Health / Group PA API queries to Insurtechs","Employee Benefits","Insurtech gateway traffic","Platforms seeking secondary open-market coverage to supplement state-board benefits to retain fleet supply in a competitive labor market.","Group Health, Group PA, Group Safeguard Insurance"
"Updates to internal DPO policies regarding gig worker data silos","Employee Benefits","Internal policy leaks/forums","Ensuring DPDP compliance, as gig worker data cannot be repurposed for unrelated commercial activities without specific, itemized consent.15","Cyber, Employment Practices Liability"
"Implementation of mandatory safety training progression modules","Employee Benefits","Driver app progression logs","Addressing the Occupational Health and Safety mandates of the Karnataka Gig Worker Act.12 High training completion failure rates strictly correlate with systemic EC risk.","Employers Compensation, Group PA"
"Withdrawal of platform operations in tier-3 Karnataka districts","Employee Benefits","Service availability maps","Platforms retreating from low-margin geographic areas where the mandatory 1-2% GMV cess renders unit economics negative.8","Business Interruption, D\&O"
"Sudden changes in Key Person insurance procurement patterns","Employee Benefits","Insurtech aggregators","Startups rushing to cover DPOs and Chief Compliance Officers, recognizing their direct personal liability under DPDP and RBI non-compliance rules.6","Key Person, D\&O, Business Shield SME"
"Increases in internal employee grievance tickets regarding data access","Employee Benefits","Internal IT helpdesk metrics","Employees utilizing their new DPDP ""Rights of Data Principals"" to access or correct their HR data.14 Poor handling triggers DPB complaints.","Employment Practices Liability, Cyber"
"High frequency of NPNT (No Permission No Takeoff) log failures","Transit / Motor / Trade","Digital Sky public API / Flight logs","Drone fleets attempting to bypass firmware locks, fly in restricted zones, or operating without valid permissions.24 Extremely high probability of regulatory grounding or crash.","Drone RPAS, Public Liability, Commercial Motor Fleet"
"Revocation of DGCA UIN (Unique Identification Number)","Transit / Motor / Trade","eGCA portal notices","The DGCA deregistering a specific drone or entire fleet for compliance failures.24 Renders the asset legally grounded, destroying transit capacity and supply chains.","Drone RPAS, Business Interruption, Marine Transit"
"Spike in ONDC ""edge-case"" logistics investigations","Transit / Motor / Trade","ONDC Network Policy updates","ONDC directly intervening when Logistics Service Providers and Seller Apps fail to resolve lost/damaged cargo disputes.1 Indicates a breakdown in the transit chain.","Marine Cargo, Trade Credit, Professional Indemnity"
"Increase in Remote Pilot Certificate (RPC) expirations across fleet","Transit / Motor / Trade","Digital Sky RPC Registry","Fleet operators failing to track and renew pilot medicals or skill tests (valid for 5 years).25 Operating with expired RPCs explicitly invalidates underlying aviation insurance.","Drone RPAS, Employers Compensation, Public Liability"
"Sudden shift from Micro to Small category drone UIN registrations","Transit / Motor / Trade","Digital Sky UIN tracking","A platform upgrading its fleet size/weight. Small category drones face dramatically stricter compliance (formal ID, rigorous medicals) and pose higher kinetic energy risks.24","Drone RPAS, Public Liability, CGL / I-Elite"
"Extreme volatility in ONDC Mobility Network daily trip volumes","Transit / Motor / Trade","ONDC official statistics","Spikes or crashes in the ""1 Lakh daily trips"" metric.29 High volatility stresses dynamic routing algorithms, fleet maintenance, and driver fatigue profiles.","Commercial Motor Fleet, Transit, Public Liability"
"Failures in Digital Sky to eGCA portal login migrations","Transit / Motor / Trade","IT support forums / API logs","Companies failing to transition to the new single-window eGCA platform for mandatory D-1 to D-5 forms.26 Causes administrative and operational paralysis.","Business Interruption, Tech E\&O, Drone RPAS"
"Spike in ""Area of Serviceability"" logistics API bounce rates","Transit / Motor / Trade","ONDC API response codes","Logistics providers failing to fulfill orders outside their registered GST boundaries, violating network rules and causing mass order cancellations.23","Marine Cargo, Trade Credit, Merchants Cover III"
"Integration of API-based transit monitoring for strict ""Green Zones""","Transit / Motor / Trade","Drone flight planning software","Fleets strictly restricting themselves to 400ft AGL VLOS operations.25 A positive signal indicating strict compliance, lowering transit and liability risk.","Drone RPAS, Marine Cargo, Enterprise Secure Package"
"Public notices of drone ""self-certification"" rejections","Transit / Motor / Trade","DGCA regulatory announcements","DGCA demanding formal type test data for novel designs (e.g., VTOLs) that were previously operating under trust-based self-certification.25","Machinery Breakdown, Business Interruption, Product Liability"
"Surge in ONDC B2B transaction network cancellations","Transit / Motor / Trade","Network transaction logs","Indicating systemic failure in wholesale logistics delivery within the ONDC network.12 Massively elevates trade credit exposure for sellers.","Trade Credit, Surety, Marine Cargo"
"Deployment of algorithmic routing for physical cash recoveries","Transit / Motor / Trade","LSP logistics APIs","LSPs optimizing physical routes for agents to collect and deposit cash same-day per RBI rules.6 High predictability increases targeted hijacking and transit risks.","Money Insurance, Crime / Fidelity, Transit"
"Bulk RTO (Regional Transport Office) registrations of commercial EVs","Transit / Motor / Trade","Vahan API / RTO public data","A gig platform transitioning from a third-party fragmented fleet to a captive electric fleet. Shifts risk from the gig worker directly to the corporate balance sheet.","Commercial Motor Fleet, Marine Transit, IAR Policy"
"Sudden drop in algorithmic matching efficiency on digital freight corridors","Transit / Motor / Trade","Freight aggregator APIs","Algorithms failing to match loads efficiently. Indicates network inefficiency, delayed transit times, and spoilage risks for temperature-sensitive cargo.","Marine Cargo, Business Interruption, Trade Credit"
"Implementation of DPDP-compliant dashcam facial blurring","Transit / Motor / Trade","Fleet software update logs","Commercial fleets proactively masking civilian faces in transit to avoid DPDP Act fines for unauthorized behavioral monitoring.17","Cyber, Tech E\&O, Commercial Motor Fleet"
"Increases in transit-related DPB (Data Protection Board) complaints","Transit / Motor / Trade","DPB public dockets","Consumers filing complaints about excessive, post-delivery location tracking by logistics and delivery apps.13","Cyber, Tech E\&O, D\&O"
"Adoption of automated GST e-Way bill synchronization via ONDC","Transit / Motor / Trade","Supply chain ERP updates","A positive signal indicating the automation of compliance between ONDC decentralized orders and national transit tax requirements.23","Surety, Trade Credit, Corporate Cover II"
"Reports of hardware manipulation on drone altimeters","Transit / Motor / Trade","Drone repair forums NLP","Operators illegally spoofing hardware to bypass the 120m AGL Digital Sky Green Zone restriction.25 Represents extreme aviation, cyber, and liability risk.","Drone RPAS, Public Liability, Crime / Fidelity"
"Severe delays in foreign drone component customs clearance","Transit / Motor / Trade","Port API / Logistics trackers","Even though drone components are allowed 24, customs aggressively scrutinizing shipments for complete SKD (Semi-Knocked Down) kits. Delays domestic assembly.","Marine Cargo, Business Interruption, Trade Credit"
"Partnership announcements between digital LSPs and captive logistics","Transit / Motor / Trade","Press releases / MCA filings","Digital lenders securing physical asset recovery networks. Creates a high-risk interface between strict financial compliance and physical logistics operations.","Corporate Cover II, Enterprise Secure Package"
"Spike in ""Rule 13"" aerodrome photography permissions requested","Transit / Motor / Trade","DGCA permission logs","Drone operators applying to fly near highly sensitive infrastructure.27 Indicates high-value commercial contracts but massively elevated third-party catastrophic risk.","Drone RPAS, CGL / I-Elite, Public Liability"
"Changes in cross-border marine transit insurance configurations","Transit / Motor / Trade","Insurtech APIs","Platforms adjusting transit coverage to account for extended delays caused by new data-localization driven supply chain realignments.6","Marine Cargo, Trade Credit, MSME Suraksha Kavach"
